r_over_rs,D_GR,D_SSZ,delta,z_GR,z_SSZ
1.6435,1.0,1.0,0.0,0.0,0.0
1.6442,1.0,1.0,0.0,0.0,0.0
1.6449,1.0,1.0,0.0,0.0,0.0
1.6456,1.0,1.0,0.0,0.0,0.0
1.6463,1.0,1.0,0.0,0.0,0.0
1.647,1.0,1.0,0.0,0.0,0.0
1.6477,1.0,1.0,0.0,0.0,0.0
1.6484,1.0,1.0,0.0,0.0,0.0
1.6491,1.0,1.0,0.0,0.0,0.0
1.6498,1.0,1.0,0.0,0.0,0.0
1.6505,1.0,1.0,0.0,0.0,0.0
1.6512,1.0,1.0,0.0,0.0,0.0
1.6519,1.0,1.0,0.0,0.0,0.0
1.6526,1.0,1.0,0.0,0.0,0.0
1.6533,1.0,1.0,0.0,0.0,0.0
1.654,1.0,1.0,0.0,0.0,0.0
1.6547,1.0,1.0,0.0,0.0,0.0
1.6554,1.0,1.0,0.0,0.0,0.0
1.6561,1.0,1.0,0.0,0.0,0.0
1.6568,1.0,1.0,0.0,0.0,0.0
1.6575,1.0,1.0,0.0,0.0,0.0
1.6582,1.0,1.0,0.0,0.0,0.0
1.6589,1.0,1.0,0.0,0.0,0.0
1.6596,1.0,1.0,0.0,0.0,0.0
1.6602999999999999,1.0,1.0,0.0,0.0,0.0
1.661,1.0,1.0,0.0,0.0,0.0
1.6617,1.0,1.0,0.0,0.0,0.0
1.6623999999999999,1.0,1.0,0.0,0.0,0.0
1.6631,1.0,1.0,0.0,0.0,0.0
1.6638,1.0,1.0,0.0,0.0,0.0
1.6645,1.0,1.0,0.0,0.0,0.0
1.6652,1.0,1.0,0.0,0.0,0.0
1.6659,1.0,1.0,0.0,0.0,0.0
1.6666,1.0,1.0,0.0,0.0,0.0
1.6673,1.0,1.0,0.0,0.0,0.0
1.668,1.0,1.0,0.0,0.0,0.0
1.6687,1.0,1.0,0.0,0.0,0.0
1.6694,1.0,1.0,0.0,0.0,0.0
1.6701,1.0,1.0,0.0,0.0,0.0
1.6708,1.0,1.0,0.0,0.0,0.0
1.6715,1.0,1.0,0.0,0.0,0.0
1.6722,1.0,1.0,0.0,0.0,0.0
1.6729,1.0,1.0,0.0,0.0,0.0
1.6736,1.0,1.0,0.0,0.0,0.0
1.6743000000000001,1.0,1.0,0.0,0.0,0.0
1.675,1.0,1.0,0.0,0.0,0.0
1.6757,1.0,1.0,0.0,0.0,0.0
1.6764000000000001,1.0,1.0,0.0,0.0,0.0
1.6771,1.0,1.0,0.0,0.0,0.0
1.6778,1.0,1.0,0.0,0.0,0.0
1.6785,1.0,1.0,0.0,0.0,0.0
1.6792,1.0,1.0,0.0,0.0,0.0
1.6799,1.0,1.0,0.0,0.0,0.0
1.6806,1.0,1.0,0.0,0.0,0.0
1.6813,1.0,1.0,0.0,0.0,0.0
1.682,1.0,1.0,0.0,0.0,0.0
1.6827,1.0,1.0,0.0,0.0,0.0
1.6834,1.0,1.0,0.0,0.0,0.0
1.6841,1.0,1.0,0.0,0.0,0.0
1.6848,1.0,1.0,0.0,0.0,0.0
1.6855,1.0,1.0,0.0,0.0,0.0
1.6862,1.0,1.0,0.0,0.0,0.0
1.6869,1.0,1.0,0.0,0.0,0.0
1.6876,1.0,1.0,0.0,0.0,0.0
1.6883,1.0,1.0,0.0,0.0,0.0
1.689,1.0,1.0,0.0,0.0,0.0
1.6897,1.0,1.0,0.0,0.0,0.0
1.6904,1.0,1.0,0.0,0.0,0.0
1.6911,1.0,1.0,0.0,0.0,0.0
1.6918,1.0,1.0,0.0,0.0,0.0
1.6925,1.0,1.0,0.0,0.0,0.0
1.6932,1.0,1.0,0.0,0.0,0.0
1.6939,1.0,1.0,0.0,0.0,0.0
1.6945999999999999,1.0,1.0,0.0,0.0,0.0
1.6953,1.0,1.0,0.0,0.0,0.0
1.696,1.0,1.0,0.0,0.0,0.0
1.6966999999999999,1.0,1.0,0.0,0.0,0.0
1.6974,1.0,1.0,0.0,0.0,0.0
1.6981,1.0,1.0,0.0,0.0,0.0
1.6988,1.0,1.0,0.0,0.0,0.0
1.6995,1.0,1.0,0.0,0.0,0.0
1.7002,1.0,1.0,0.0,0.0,0.0
1.7009,1.0,1.0,0.0,0.0,0.0
1.7016,1.0,1.0,0.0,0.0,0.0
1.7023,1.0,1.0,0.0,0.0,0.0
1.703,1.0,1.0,0.0,0.0,0.0
1.7037,1.0,1.0,0.0,0.0,0.0
1.7044,1.0,1.0,0.0,0.0,0.0
1.7051,1.0,1.0,0.0,0.0,0.0
1.7058,1.0,1.0,0.0,0.0,0.0
1.7065,1.0,1.0,0.0,0.0,0.0
1.7072,1.0,1.0,0.0,0.0,0.0
1.7079,1.0,1.0,0.0,0.0,0.0
1.7086000000000001,1.0,1.0,0.0,0.0,0.0
1.7093,1.0,1.0,0.0,0.0,0.0
1.71,1.0,1.0,0.0,0.0,0.0
1.7107,1.0,1.0,0.0,0.0,0.0
1.7114,1.0,1.0,0.0,0.0,0.0
1.7121,1.0,1.0,0.0,0.0,0.0
1.7128,1.0,1.0,0.0,0.0,0.0
1.7135,1.0,1.0,0.0,0.0,0.0
1.7142,1.0,1.0,0.0,0.0,0.0
1.7149,1.0,1.0,0.0,0.0,0.0
1.7156,1.0,1.0,0.0,0.0,0.0
1.7163,1.0,1.0,0.0,0.0,0.0
1.717,1.0,1.0,0.0,0.0,0.0
1.7177,1.0,1.0,0.0,0.0,0.0
1.7184,1.0,1.0,0.0,0.0,0.0
1.7191,1.0,1.0,0.0,0.0,0.0
1.7198,1.0,1.0,0.0,0.0,0.0
1.7205,1.0,1.0,0.0,0.0,0.0
1.7212,1.0,1.0,0.0,0.0,0.0
1.7219,1.0,1.0,0.0,0.0,0.0
1.7226,1.0,1.0,0.0,0.0,0.0
1.7233,1.0,1.0,0.0,0.0,0.0
1.724,1.0,1.0,0.0,0.0,0.0
1.7247,1.0,1.0,0.0,0.0,0.0
1.7254,1.0,1.0,0.0,0.0,0.0
1.7261,1.0,1.0,0.0,0.0,0.0
1.7268,1.0,1.0,0.0,0.0,0.0
1.7275,1.0,1.0,0.0,0.0,0.0
1.7282,1.0,1.0,0.0,0.0,0.0
1.7288999999999999,1.0,1.0,0.0,0.0,0.0
1.7296,1.0,1.0,0.0,0.0,0.0
1.7303,1.0,1.0,0.0,0.0,0.0
1.731,1.0,1.0,0.0,0.0,0.0
1.7317,1.0,1.0,0.0,0.0,0.0
1.7324,1.0,1.0,0.0,0.0,0.0
1.7331,1.0,1.0,0.0,0.0,0.0
1.7338,1.0,1.0,0.0,0.0,0.0
1.7345,1.0,1.0,0.0,0.0,0.0
1.7352,1.0,1.0,0.0,0.0,0.0
1.7359,1.0,1.0,0.0,0.0,0.0
1.7366,1.0,1.0,0.0,0.0,0.0
1.7373,1.0,1.0,0.0,0.0,0.0
1.738,1.0,1.0,0.0,0.0,0.0
1.7387,1.0,1.0,0.0,0.0,0.0
1.7394,1.0,1.0,0.0,0.0,0.0
1.7401,1.0,1.0,0.0,0.0,0.0
1.7408,1.0,1.0,0.0,0.0,0.0
1.7415,1.0,1.0,0.0,0.0,0.0
1.7422,1.0,1.0,0.0,0.0,0.0
1.7429000000000001,1.0,1.0,0.0,0.0,0.0
1.7436,1.0,1.0,0.0,0.0,0.0
1.7443,1.0,1.0,0.0,0.0,0.0
1.745,1.0,1.0,0.0,0.0,0.0
1.7457,1.0,1.0,0.0,0.0,0.0
1.7464,1.0,1.0,0.0,0.0,0.0
1.7471,1.0,1.0,0.0,0.0,0.0
1.7478,1.0,1.0,0.0,0.0,0.0
1.7485,1.0,1.0,0.0,0.0,0.0
1.7492,1.0,1.0,0.0,0.0,0.0
1.7499,1.0,1.0,0.0,0.0,0.0
