case,category,M_solar,a_m,e,P_year,T0_year,f_true_deg,z,f_emit_Hz,f_obs_Hz,lambda_emit_nm,lambda_obs_nm,v_los_mps,v_tot_mps,z_geom_hint,N0,source,r_emit_m,n_round,data_type
NED 2015ApJ...810L...9L 1.50e+10 Hz,,6500000000.0,,,,,,0.0042,15063000000.0,15000000000.0,,,1284000.0,1284000.0,0.7998627493097795,,M87,12000000000000.0,0.85266467315053,continuum
NED 2005AJ....130.2473K 1.50e+10 Hz,,6500000000.0,,,,,,0.0042,15063000000.0,15000000000.0,,,1284000.0,1284000.0,0.7998627493097795,,M87,12000000000000.0,0.85266467315053,continuum
NED 2011ApJS..194...29R 1.50e+10 Hz,,6500000000.0,,,,,,0.0042,15063000000.0,15000000000.0,,,1284000.0,1284000.0,0.7998627493097795,,M87,12000000000000.0,0.85266467315053,continuum
NED 2004ApJ...612..749Z 1.51e+10 Hz,,6500000000.0,,,,,,0.0042,15163420000.0,15100000000.0,,,1284000.0,1284000.0,0.7998627493097795,,M87,12000000000000.0,0.85266467315053,continuum
NED 2005AJ....130.1389L 1.54e+10 Hz,,6500000000.0,,,,,,0.0042,15464680000.0,15400000000.0,,,1284000.0,1284000.0,0.7998627493097795,,M87,12000000000000.0,0.85266467315053,continuum
NED 2009MNRAS.400..984D 1.61e+10 Hz,,6500000000.0,,,,,,0.0042,16167620000.0,16100000000.0,,,1284000.0,1284000.0,0.7998627493097795,,M87,12000000000000.0,0.85266467315053,continuum
NED 2017ApJS..228...22L 2.17e+10 Hz,,6500000000.0,,,,,,0.0042,21791140000.0,21700000000.0,,,1284000.0,1284000.0,0.7998627493097795,,M87,12000000000000.0,0.85266467315053,continuum
NED 2017ApJS..228...22L 2.17e+10 Hz,,6500000000.0,,,,,,0.0042,21791140000.0,21700000000.0,,,1284000.0,1284000.0,0.7998627493097795,,M87,12000000000000.0,0.85266467315053,continuum
NED 1990PKS90.C...0000W 2.20e+10 Hz,,6500000000.0,,,,,,0.0042,22092400000.0,22000000000.0,,,1284000.0,1284000.0,0.7998627493097795,,M87,12000000000000.0,0.85266467315053,continuum
NED 2007AJ....133.2487P 2.20e+10 Hz,,6500000000.0,,,,,,0.0042,22092400000.0,22000000000.0,,,1284000.0,1284000.0,0.7998627493097795,,M87,12000000000000.0,0.85266467315053,continuum
NED 2007AJ....133.2487P 2.20e+10 Hz,,6500000000.0,,,,,,0.0042,22092400000.0,22000000000.0,,,1284000.0,1284000.0,0.7998627493097795,,M87,12000000000000.0,0.85266467315053,continuum
NED 2009ApJS..180..283W 2.30e+10 Hz,,6500000000.0,,,,,,0.0042,23096600000.0,23000000000.0,,,1284000.0,1284000.0,0.7998627493097795,,M87,12000000000000.0,0.85266467315053,continuum
NED 2003ApJS..148...97B 2.30e+10 Hz,,6500000000.0,,,,,,0.0042,23096600000.0,23000000000.0,,,1284000.0,1284000.0,0.7998627493097795,,M87,12000000000000.0,0.85266467315053,continuum
NED 2011ApJS..192...15G 2.30e+10 Hz,,6500000000.0,,,,,,0.0042,23096600000.0,23000000000.0,,,1284000.0,1284000.0,0.7998627493097795,,M87,12000000000000.0,0.85266467315053,continuum
NED 1975ApJ...196..347H 3.16e+10 Hz,,6500000000.0,,,,,,0.0042,31732720000.0,31600000000.0,,,1284000.0,1284000.0,0.7998627493097795,,M87,12000000000000.0,0.85266467315053,continuum
NED 2009MNRAS.400..984D 3.30e+10 Hz,,6500000000.0,,,,,,0.0042,33138600000.0,33000000000.0,,,1284000.0,1284000.0,0.7998627493097795,,M87,12000000000000.0,0.85266467315053,continuum
NED 2003ApJS..148...97B 3.30e+10 Hz,,6500000000.0,,,,,,0.0042,33138600000.0,33000000000.0,,,1284000.0,1284000.0,0.7998627493097795,,M87,12000000000000.0,0.85266467315053,continuum
NED 2011ApJS..192...15G 3.30e+10 Hz,,6500000000.0,,,,,,0.0042,33138600000.0,33000000000.0,,,1284000.0,1284000.0,0.7998627493097795,,M87,12000000000000.0,0.85266467315053,continuum
NED 2009ApJS..180..283W 3.30e+10 Hz,,6500000000.0,,,,,,0.0042,33138600000.0,33000000000.0,,,1284000.0,1284000.0,0.7998627493097795,,M87,12000000000000.0,0.85266467315053,continuum
