source,frequency_Hz,flux_density_Jy,flux_error_Jy,M_solar,r_emit_m,instrument,observation_date
M87,857000000000.0,1.07,0.10700000000000001,6500000000.0,12000000000000.0,2010A&A...518L..53B,unknown
M87,857000000000.0,1.07,0.10700000000000001,6500000000.0,12000000000000.0,2014ApJ...783..135A,unknown
M87,1200000000000.0,0.706,0.0706,6500000000.0,12000000000000.0,2014ApJ...783..135A,unknown
M87,1200000000000.0,0.86,0.08600000000000001,6500000000.0,12000000000000.0,2010A&A...518L..53B,unknown
M87,1810000000000.0,0.82,0.082,6500000000.0,12000000000000.0,2014MNRAS.440..942C,unknown
M87,1870000000000.0,0.673,0.06730000000000001,6500000000.0,12000000000000.0,2010A&A...518L..53B,unknown
M87,1900000000000.0,1160000000.0,116000000.0,6500000000.0,12000000000000.0,2016ApJS..226...19F,unknown
M87,1900000000000.0,2620000000.0,262000000.0,6500000000.0,12000000000000.0,2016ApJS..226...19F,unknown
M87,1900000000000.0,3240000000.0,324000000.0,6500000000.0,12000000000000.0,2016ApJS..226...19F,unknown
M87,1920000000000.0,0.896,0.08960000000000001,6500000000.0,12000000000000.0,2009ApJ...707..890T,unknown
M87,1920000000000.0,0.815,0.0815,6500000000.0,12000000000000.0,2009ApJ...695....1T,unknown
M87,1920000000000.0,0.582,0.0582,6500000000.0,12000000000000.0,2007ApJ...655..781S,unknown
M87,2140000000000.0,0.296,0.0296,6500000000.0,12000000000000.0,2017A&A...605A..74K,unknown
M87,2930000000000.0,0.693,0.0693,6500000000.0,12000000000000.0,2014MNRAS.440..942C,unknown
M87,3000000000000.0,0.41,0.041,6500000000.0,12000000000000.0,1994PrivC.U..J....K,unknown
M87,3000000000000.0,0.517,0.0517,6500000000.0,12000000000000.0,2010A&A...518L..53B,unknown
M87,3000000000000.0,0.559,0.055900000000000005,6500000000.0,12000000000000.0,1988AJ.....95...26G,unknown
M87,3330000000000.0,0.363,0.0363,6500000000.0,12000000000000.0,2017A&A...605A..74K,unknown
M87,4200000000000.0,0.46,0.046000000000000006,6500000000.0,12000000000000.0,2009ApJ...695....1T,unknown
M87,4200000000000.0,0.483,0.0483,6500000000.0,12000000000000.0,2009ApJ...707..890T,unknown
M87,4200000000000.0,0.455,0.045500000000000006,6500000000.0,12000000000000.0,2007ApJ...655..781S,unknown
M87,4200000000000.0,0.228,0.0228,6500000000.0,12000000000000.0,2007ApJ...655..781S,unknown
M87,4610000000000.0,0.493,0.049300000000000004,6500000000.0,12000000000000.0,2017A&A...605A..74K,unknown
M87,5000000000000.0,0.394,0.039400000000000004,6500000000.0,12000000000000.0,1990IRASF.C...0000M,unknown
M87,5000000000000.0,0.39,0.03900000000000001,6500000000.0,12000000000000.0,1994PrivC.U..J....K,unknown
M87,5000000000000.0,0.546,0.05460000000000001,6500000000.0,12000000000000.0,1988AJ.....95...26G,unknown
M87,8950000000000.0,4500000000.0,450000000.0,6500000000.0,12000000000000.0,2007ApJ...663..808P,unknown
