r_over_rs,D_GR,D_SSZ,Xi
3.842710678,0.860097107,0.500498986,0.998006048
3.843710928,0.860136474,0.500498178,0.998009272
3.844711178,0.860175819,0.500497371,0.998012491
3.845711428,0.860215141,0.500496566,0.998015705
3.846711678,0.860254441,0.500495763,0.998018914
3.847711928,0.860293719,0.500494960,0.998022118
3.848712178,0.860332975,0.500494159,0.998025316
3.849712428,0.860372209,0.500493359,0.998028510
3.850712678,0.860411420,0.500492560,0.998031698
3.851712928,0.860450610,0.500491763,0.998034881
3.852713178,0.860489777,0.500490967,0.998038059
3.853713428,0.860528922,0.500490172,0.998041231
3.854713678,0.860568045,0.500489379,0.998044399
3.855713928,0.860607146,0.500488587,0.998047562
3.856714179,0.860646225,0.500487796,0.998050719
3.857714429,0.860685281,0.500487006,0.998053871
3.858714679,0.860724316,0.500486218,0.998057018
3.859714929,0.860763329,0.500485431,0.998060160
3.860715179,0.860802320,0.500484645,0.998063297
3.861715429,0.860841288,0.500483860,0.998066429
3.862715679,0.860880235,0.500483077,0.998069556
3.863715929,0.860919160,0.500482295,0.998072678
3.864716179,0.860958063,0.500481515,0.998075795
3.865716429,0.860996944,0.500480735,0.998078906
3.866716679,0.861035804,0.500479957,0.998082013
3.867716929,0.861074641,0.500479180,0.998085115
3.868717179,0.861113457,0.500478405,0.998088211
3.869717429,0.861152251,0.500477630,0.998091303
3.870717679,0.861191023,0.500476857,0.998094389
3.871717929,0.861229773,0.500476085,0.998097471
3.872718180,0.861268501,0.500475315,0.998100548
3.873718430,0.861307208,0.500474545,0.998103619
3.874718680,0.861345893,0.500473777,0.998106686
3.875718930,0.861384556,0.500473010,0.998109748
3.876719180,0.861423198,0.500472244,0.998112804
3.877719430,0.861461818,0.500471480,0.998115856
3.878719680,0.861500416,0.500470717,0.998118903
3.879719930,0.861538993,0.500469955,0.998121945
3.880720180,0.861577548,0.500469194,0.998124982
3.881720430,0.861616081,0.500468435,0.998128014
3.882720680,0.861654593,0.500467677,0.998131042
3.883720930,0.861693083,0.500466920,0.998134064
3.884721180,0.861731552,0.500466164,0.998137081
3.885721430,0.861769999,0.500465409,0.998140094
3.886721680,0.861808425,0.500464656,0.998143102
3.887721930,0.861846830,0.500463904,0.998146105
3.888722181,0.861885212,0.500463153,0.998149103
