alpha,eta,omega,m,epsilon,q,sigma0,R,Kappa,phi,r0,K,lambda_A,Omega0,segment_mode,Xi,logG,lhs,stable_direct,stable_criterion,near_boundary,criterion_margin,integral_gamma,damping_sum,log_mirror
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.8,2.0,uniform,446.43314964073454,356.13120289832557,5.120000000000001,False,False,False,-441.31314964073454,370.78505862979904,14.653745726423134,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.0,2.0,uniform,446.43314964073454,370.7849486247487,0.0,False,False,False,-446.43314964073454,370.78505862979904,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.8,2.0,uniform,446.43314964073454,356.13120289832557,5.120000000000001,False,False,False,-441.31314964073454,370.78505862979904,14.653745726423134,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.0,0.1,uniform,10.98167071350908,7.199260662709792,0.0,False,False,False,-10.98167071350908,7.1993706677601255,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.8,0.1,uniform,10.98167071350908,-23.01672499384341,10.240000000000002,True,False,False,-0.7416707135090785,7.1993706677601255,30.2159856565532,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.0,0.311111111111,uniform,59.36516837206421,47.597670436248414,0.0,False,False,False,-59.36516837206421,47.597780441298745,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.8,0.311111111111,uniform,59.36516837206421,17.38168477969521,10.240000000000002,False,False,False,-49.12516837206421,47.597780441298745,30.2159856565532,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.0,0.522222222222,uniform,107.74866603064484,87.99608020980831,0.0,False,False,False,-107.74866603064484,87.99619021485864,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.8,0.522222222222,uniform,107.74866603064484,57.78009455325511,10.240000000000002,False,False,False,-97.50866603064483,87.99619021485864,30.2159856565532,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.0,0.522222222222,uniform,107.74866603061936,87.99608020978704,0.0,False,False,False,-107.74866603061936,87.99619021483737,0.0,-0.00011000505033366343
