r_over_rs,r_m,m_geom_m,Phi,rho_fl,pr_fl,pt_fl,phi,phip,Zpar,U,X,rho_phi,pr_phi,pt_phi,Delta_phi,rho_tot,pr_tot,pt_tot,one_minus_2m_over_r
2.4806532663e+00,7.3262109847e+03,1.4766696910e+03,1.2642247350e+00,-8.9593705902e-28,-2.6878111771e-28,-2.6878111771e-28,1.0000010843e-04,2.8887236369e-14,1.0000002999e+00,1.4993389728e-22,4.9808021886e-28,1.4993414633e-22,-1.4993364824e-22,-1.4993414633e-22,-4.9808036825e-28,1.4993325039e-22,-1.4993391703e-22,-1.4993441511e-22,5.9688038084e-01
2.5356783920e+00,7.4887188552e+03,1.4766696910e+03,1.2714859674e+00,-9.4059200246e-28,-2.8217760074e-28,-2.8217760074e-28,1.0000011313e-04,2.8968494449e-14,1.0000002999e+00,1.4993392077e-22,5.0822725674e-28,1.4993417489e-22,-1.4993366666e-22,-1.4993417489e-22,-5.0822740913e-28,1.4993323430e-22,-1.4993394884e-22,-1.4993445707e-22,6.0562822037e-01
2.5907035176e+00,7.6512267258e+03,1.4766696910e+03,1.2783489495e+00,-9.8539902668e-28,-2.9561970800e-28,-2.9561970800e-28,1.0000011784e-04,2.9054385043e-14,1.0000002999e+00,1.4993394433e-22,5.1831634219e-28,1.4993420349e-22,-1.4993368517e-22,-1.4993420349e-22,-5.1831649762e-28,1.4993321809e-22,-1.4993398079e-22,-1.4993449911e-22,6.1400446125e-01
2.6457286432e+00,7.8137345963e+03,1.4766696910e+03,1.2848438179e+00,-1.0303643039e-27,-3.0910929117e-28,-3.0910929117e-28,1.0000012257e-04,2.9145022772e-14,1.0000002999e+00,1.4993396796e-22,5.2837435025e-28,1.4993423215e-22,-1.4993370377e-22,-1.4993423215e-22,-5.2837450867e-28,1.4993320178e-22,-1.4993401288e-22,-1.4993454125e-22,6.2203228870e-01
2.7007537688e+00,7.9762424668e+03,1.4766696910e+03,1.2909981172e+00,-1.0754950604e-27,-3.2264851811e-28,-3.2264851811e-28,1.0000012732e-04,2.9240467608e-14,1.0000002999e+00,1.4993399166e-22,5.3842482826e-28,1.4993426087e-22,-1.4993372245e-22,-1.4993426087e-22,-5.3842498975e-28,1.4993318538e-22,-1.4993404510e-22,-1.4993458352e-22,6.2973299842e-01
2.7557788945e+00,8.1387503373e+03,1.4766696910e+03,1.2968370515e+00,-1.1207993002e-27,-3.3623979005e-28,-3.3623979005e-28,1.0000013208e-04,2.9340733991e-14,1.0000002999e+00,1.4993401544e-22,5.4848834371e-28,1.4993428969e-22,-1.4993374120e-22,-1.4993428969e-22,-5.4848850818e-28,1.4993316889e-22,-1.4993407744e-22,-1.4993462593e-22,6.3712618527e-01
2.8108040201e+00,8.3012582078e+03,1.4766696910e+03,1.3023837073e+00,-1.1662855579e-27,-3.4988566736e-28,-3.4988566736e-28,1.0000013685e-04,2.9445798694e-14,1.0000002999e+00,1.4993403931e-22,5.5858280348e-28,1.4993431860e-22,-1.4993376002e-22,-1.4993431860e-22,-5.5858297098e-28,1.4993315231e-22,-1.4993410990e-22,-1.4993466848e-22,6.4422990972e-01
2.8658291457e+00,8.4637660784e+03,1.4766696910e+03,1.3076592525e+00,-1.2119626768e-27,-3.6358880303e-28,-3.6358880303e-28,1.0000014165e-04,2.9555607590e-14,1.0000002999e+00,1.4993406326e-22,5.6872374527e-28,1.4993434762e-22,-1.4993377890e-22,-1.4993434762e-22,-5.6872391580e-28,1.4993313566e-22,-1.4993414249e-22,-1.4993471121e-22,6.5106084517e-01
2.9208542714e+00,8.6262739489e+03,1.4766696910e+03,1.3126831141e+00,-1.2578396102e-27,-3.7735188305e-28,-3.7735188305e-28,1.0000014646e-04,2.9670081478e-14,1.0000002999e+00,1.4993408730e-22,5.7892460245e-28,1.4993437677e-22,-1.4993379784e-22,-1.4993437677e-22,-5.7892477608e-28,1.4993311893e-22,-1.4993417519e-22,-1.4993475412e-22,6.5763440860e-01
2.9758793970e+00,8.7887818194e+03,1.4766696910e+03,1.3174731372e+00,-1.3039252434e-27,-3.9117757302e-28,-3.9117757302e-28,1.0000015129e-04,2.9789121080e-14,1.0000002999e+00,1.4993411144e-22,5.8919694376e-28,1.4993440604e-22,-1.4993381684e-22,-1.4993440604e-22,-5.8919712047e-28,1.4993310212e-22,-1.4993420802e-22,-1.4993479722e-22,6.6396487673e-01
3.0309045226e+00,8.9512896899e+03,1.4766696910e+03,1.3220457280e+00,-1.3502282339e-27,-4.0506847016e-28,-4.0506847016e-28,1.0000015614e-04,2.9912611327e-14,1.0000002999e+00,1.4993413568e-22,5.9955068966e-28,1.4993443546e-22,-1.4993383590e-22,-1.4993443546e-22,-5.9955086944e-28,1.4993308523e-22,-1.4993424097e-22,-1.4993484052e-22,6.7006548951e-01
3.0859296482e+00,9.1137975604e+03,1.4766696910e+03,1.3264159817e+00,-1.3967568672e-27,-4.1902706016e-28,-4.1902706016e-28,1.0000016101e-04,3.0040425022e-14,1.0000002999e+00,1.4993416002e-22,6.0999430702e-28,1.4993446502e-22,-1.4993385502e-22,-1.4993446502e-22,-6.0999448995e-28,1.4993306826e-22,-1.4993427405e-22,-1.4993488404e-22,6.7594854258e-01
3.1409547739e+00,9.2763054310e+03,1.4766696910e+03,1.3305977977e+00,-1.4435189275e-27,-4.3305567826e-28,-4.3305567826e-28,1.0000016591e-04,3.0172425966e-14,1.0000002999e+00,1.4993418447e-22,6.2053498399e-28,1.4993449473e-22,-1.4993387420e-22,-1.4993449473e-22,-6.2053517008e-28,1.4993305121e-22,-1.4993430725e-22,-1.4993492779e-22,6.8162546996e-01
3.1959798995e+00,9.4388133015e+03,1.4766696910e+03,1.3346039837e+00,-1.4905215798e-27,-4.4715647395e-28,-4.4715647395e-28,1.0000017082e-04,3.0308471615e-14,1.0000002999e+00,1.4993420902e-22,6.3117878672e-28,1.4993452461e-22,-1.4993389343e-22,-1.4993452461e-22,-6.3117897600e-28,1.4993303409e-22,-1.4993434059e-22,-1.4993497176e-22,6.8710691824e-01
3.2510050251e+00,9.6013211720e+03,1.4766696910e+03,1.3384463497e+00,-1.5377712629e-27,-4.6133137888e-28,-4.6133137888e-28,1.0000017576e-04,3.0448415323e-14,1.0000002999e+00,1.4993423368e-22,6.4193079953e-28,1.4993455465e-22,-1.4993391272e-22,-1.4993455465e-22,-6.4193099205e-28,1.4993301688e-22,-1.4993437405e-22,-1.4993501598e-22,6.9240281320e-01
3.3060301508e+00,9.7638290425e+03,1.4766696910e+03,1.3421357923e+00,-1.5852735914e-27,-4.7558207742e-28,-4.7558207742e-28,1.0000018072e-04,3.0592108243e-14,1.0000002999e+00,1.4993425846e-22,6.5279525019e-28,1.4993458486e-22,-1.4993393206e-22,-1.4993458486e-22,-6.5279544593e-28,1.4993299958e-22,-1.4993440764e-22,-1.4993506044e-22,6.9752241982e-01
3.3610552764e+00,9.9263369130e+03,1.4766696910e+03,1.3456823721e+00,-1.6330332652e-27,-4.8990997955e-28,-4.8990997955e-28,1.0000018570e-04,3.0739400910e-14,1.0000002999e+00,1.4993428335e-22,6.6377562159e-28,1.4993461524e-22,-1.4993395146e-22,-1.4993461524e-22,-6.6377582066e-28,1.4993298220e-22,-1.4993444137e-22,-1.4993510515e-22,7.0247439635e-01
